element,time
137, 744.000000
138, 742.000000
139, 742.000000
140, 748.000000
141, 776.000000
142, 748.000000
143, 745.000000
144, 747.000000
145, 746.000000
146, 746.000000
147, 750.000000
148, 744.000000
149, 749.000000
150, 765.000000
151, 746.000000
152, 747.000000
153, 742.000000
154, 747.000000
155, 738.000000
156, 746.000000
157, 748.000000
158, 744.000000
159, 746.000000
160, 748.000000
161, 740.000000
162, 740.000000
163, 734.000000
164, 742.000000
165, 748.000000
166, 742.000000
167, 750.000000
168, 754.000000
169, 744.000000
170, 741.000000
171, 744.000000
172, 757.000000
173, 745.000000
174, 739.000000
175, 734.000000
176, 740.000000
177, 748.000000
178, 745.000000
179, 746.000000
180, 746.000000
181, 743.000000
182, 744.000000
183, 737.000000
184, 753.000000
185, 748.000000
186, 770.000000
187, 733.000000
188, 741.000000
189, 739.000000
190, 740.000000
191, 744.000000
192, 744.000000
193, 745.000000
194, 742.000000
195, 742.000000
196, 745.000000
197, 743.000000
198, 763.000000
199, 741.000000
200, 743.000000
201, 745.000000
202, 743.000000
203, 743.000000
204, 742.000000
205, 743.000000
206, 763.000000
207, 748.000000
208, 741.000000
209, 746.000000
210, 746.000000
211, 750.000000
212, 739.000000
213, 746.000000
214, 745.000000
215, 743.000000
216, 751.000000
217, 767.000000
218, 746.000000
219, 745.000000
220, 748.000000
221, 740.000000
222, 743.000000
223, 741.000000
224, 746.000000
225, 747.000000
226, 747.000000
227, 742.000000
228, 741.000000
229, 743.000000
230, 738.000000
231, 745.000000
232, 750.000000
233, 746.000000
234, 737.000000
235, 741.000000
236, 737.000000
237, 741.000000
238, 739.000000
239, 740.000000
240, 741.000000
241, 745.000000
242, 748.000000
243, 744.000000
244, 745.000000
245, 738.000000
246, 744.000000
247, 750.000000
248, 747.000000
249, 740.000000
250, 746.000000
251, 750.000000
252, 742.000000
253, 749.000000
254, 742.000000
255, 744.000000
256, 741.000000
257, 752.000000
258, 767.000000
259, 743.000000
260, 740.000000
261, 743.000000
262, 758.000000
263, 871.000000
264, 748.000000
265, 737.000000
266, 753.000000
267, 743.000000
268, 736.000000
269, 745.000000
270, 755.000000
271, 745.000000
272, 743.000000
273, 743.000000
274, 748.000000
275, 740.000000
276, 741.000000
277, 739.000000
278, 745.000000
279, 743.000000
280, 756.000000
281, 758.000000
282, 744.000000
283, 744.000000
284, 764.000000
285, 751.000000
286, 755.000000
287, 744.000000
288, 745.000000
289, 741.000000
290, 747.000000
291, 742.000000
292, 738.000000
293, 741.000000
294, 742.000000
295, 748.000000
296, 745.000000
297, 748.000000
298, 745.000000
299, 768.000000
300, 745.000000
301, 742.000000
302, 744.000000
303, 747.000000
304, 765.000000
305, 743.000000
306, 738.000000
307, 742.000000
308, 736.000000
309, 739.000000
310, 742.000000
311, 745.000000
312, 745.000000
313, 745.000000
314, 735.000000
315, 745.000000
316, 745.000000
317, 749.000000
318, 748.000000
319, 745.000000
320, 741.000000
321, 742.000000
322, 749.000000
323, 741.000000
324, 744.000000
325, 792.000000
326, 736.000000
327, 742.000000
328, 745.000000
329, 743.000000
330, 739.000000
331, 742.000000
332, 744.000000
333, 739.000000
334, 744.000000
335, 747.000000
336, 746.000000
337, 743.000000
338, 743.000000
339, 742.000000
340, 746.000000
341, 740.000000
342, 749.000000
343, 753.000000
344, 743.000000
345, 744.000000
346, 734.000000
347, 750.000000
348, 745.000000
349, 743.000000
350, 743.000000
351, 737.000000
352, 737.000000
353, 751.000000
354, 767.000000
355, 755.000000
356, 747.000000
357, 740.000000
358, 752.000000
359, 741.000000
360, 747.000000
361, 744.000000
362, 738.000000
363, 739.000000
364, 740.000000
365, 743.000000
366, 744.000000
367, 738.000000
368, 743.000000
369, 752.000000
370, 738.000000
371, 743.000000
372, 743.000000
373, 748.000000
374, 745.000000
375, 737.000000
376, 747.000000
377, 744.000000
378, 745.000000
379, 744.000000
380, 746.000000
381, 752.000000
382, 745.000000
383, 746.000000
384, 746.000000
385, 745.000000
386, 750.000000
387, 741.000000
388, 745.000000
389, 740.000000
390, 743.000000
391, 740.000000
392, 747.000000
393, 745.000000
394, 745.000000
395, 790.000000
396, 774.000000
397, 739.000000
398, 741.000000
399, 742.000000
400, 742.000000
401, 740.000000
402, 748.000000
403, 747.000000
404, 740.000000
405, 742.000000
406, 748.000000
407, 747.000000
408, 752.000000
409, 748.000000
410, 743.000000
411, 743.000000
412, 747.000000
413, 745.000000
414, 749.000000
415, 746.000000
416, 737.000000
417, 739.000000
418, 742.000000
419, 743.000000
420, 745.000000
421, 744.000000
422, 750.000000
423, 747.000000
424, 749.000000
425, 743.000000
426, 743.000000
427, 747.000000
428, 743.000000
429, 746.000000
430, 747.000000
431, 743.000000
432, 748.000000
433, 740.000000
434, 743.000000
435, 742.000000
436, 743.000000
437, 741.000000
438, 759.000000
439, 745.000000
440, 744.000000
441, 738.000000
442, 738.000000
443, 749.000000
444, 749.000000
445, 740.000000
446, 745.000000
447, 750.000000
448, 747.000000
449, 748.000000
450, 741.000000
451, 743.000000
452, 744.000000
453, 741.000000
454, 743.000000
455, 745.000000
456, 742.000000
457, 740.000000
458, 745.000000
459, 742.000000
460, 739.000000
461, 740.000000
462, 750.000000
463, 745.000000
464, 744.000000
465, 750.000000
466, 741.000000
467, 770.000000
468, 746.000000
469, 749.000000
470, 744.000000
471, 743.000000
472, 744.000000
473, 786.000000
474, 756.000000
475, 746.000000
476, 742.000000
477, 750.000000
478, 750.000000
479, 750.000000
480, 750.000000
481, 750.000000
482, 748.000000
483, 745.000000
484, 744.000000
485, 746.000000
486, 744.000000
487, 738.000000
488, 742.000000
489, 741.000000
490, 750.000000
491, 750.000000
492, 750.000000
493, 750.000000
494, 739.000000
495, 746.000000
496, 745.000000
497, 743.000000
498, 743.000000
499, 739.000000
500, 732.000000
501, 739.000000
502, 741.000000
503, 745.000000
504, 744.000000
505, 748.000000
506, 746.000000
507, 749.000000
